,OTU54,OTU295,OTU865,OTU42,OTU31,OTU317,OTU24,OTU190,OTU1094,OTU18,OTU357,OTU57,OTU790,OTU979,OTU30,OTU138,OTU850,OTU72,OTU435,OTU211,OTU738,OTU142,OTU256,OTU458,OTU236,OTU315,OTU354,OTU736,OTU1073,OTU128,OTU1242,OTU53,OTU322,OTU785,OTU302,OTU25,OTU721,OTU129,OTU374,OTU914,OTU861,OTU516,OTU281,OTU1243,OTU508,OTU1002,OTU1026,OTU703,OTU527,OTU1111,OTU1075,OTU690,OTU807,OTU64,OTU1117,OTU744,OTU46,OTU32,OTU655,OTU537,OTU159,OTU729,OTU149,OTU384,OTU382,OTU875,OTU38,OTU1028,OTU777,OTU59,OTU695,OTU309,OTU766,OTU521,OTU398,OTU488,OTU373,OTU932,OTU245,OTU418,OTU1,OTU234,OTU745,OTU708,OTU871,OTU395,OTU730,OTU1088,OTU68,OTU85,OTU764,OTU381,OTU80,OTU76,OTU830,OTU1101,OTU33,OTU523,OTU1015,OTU48,OTU1225,OTU706,OTU825,OTU184,OTU50,OTU19,OTU1041,OTU827,OTU751,OTU420,OTU495,OTU525,OTU772,OTU771,OTU487,OTU1014,OTU204,OTU449,OTU446,OTU630,OTU1235,OTU718,OTU1069,OTU870,OTU288,OTU444,OTU84,OTU821,OTU396,OTU75,OTU329,OTU346,OTU978,OTU714,OTU590,OTU108,OTU868,OTU45,OTU325,OTU415,OTU1234,OTU765,OTU720,OTU945,OTU51,OTU1105,OTU734,OTU270,OTU136,OTU705,OTU36,OTU463,OTU750,OTU728,OTU379,OTU731,OTU833,OTU78,OTU228,OTU616,OTU404,OTU803,OTU801,OTU112,OTU246,OTU47,OTU401,OTU724,OTU878,OTU1184,OTU691,OTU1110,OTU836,OTU1078,OTU529,OTU343,OTU1113,OTU798,OTU1232,OTU260,OTU65,OTU41,OTU710,OTU1074,OTU146,OTU21,OTU333,OTU685,OTU4,OTU709,OTU352,OTU873,OTU908,OTU788,OTU297,OTU1077,OTU815,OTU532,OTU6,OTU450,OTU524,OTU125,OTU1021,OTU63,OTU1229,OTU390,OTU610,OTU1100,OTU67,OTU319,OTU274,OTU802,OTU752,OTU837,OTU225,OTU505,OTU436,OTU437,OTU864,OTU717,OTU862,OTU533,OTU389,OTU689,OTU789,OTU156,OTU832,OTU753,OTU209,OTU740,OTU711,OTU79,OTU1239,OTU202,OTU383,OTU743,OTU86,OTU704,OTU732,OTU1237,OTU956,OTU5,OTU1139,OTU692,OTU1135,OTU723,OTU151,OTU522,OTU768,OTU770,OTU1192,OTU338,OTU1207,OTU3,OTU867,OTU885,OTU819,OTU55,OTU122,OTU447,OTU716,OTU1233,OTU698,OTU34,OTU1082,OTU534,OTU769,OTU387,OTU89,OTU889,OTU767,OTU905,OTU263,OTU261,OTU1018,OTU426,OTU29,OTU786,OTU82,OTU386,OTU376,OTU943,OTU179,OTU7,OTU312,OTU481,OTU737,OTU20,OTU320,OTU774,OTU626,OTU434,OTU605,OTU456,OTU863,OTU893,OTU70,OTU1236,OTU1090,OTU952,OTU69,OTU37,OTU999,OTU872,OTU810,OTU496,OTU1104,OTU707,OTU1001,OTU1031,OTU795,OTU466,OTU866,OTU427,OTU279,OTU469,OTU792,OTU49,OTU712,OTU1093,OTU460,OTU272,OTU874,OTU375,OTU345,OTU869,OTU797,OTU509
LOS2-early pre-onset,0,0,7,0,1,71,0,0,5,0,2,48,0,12,5726,3,0,0,0,15,3,29,5,0,0,0,4,309,3,168,0,3,23,0,0,2,1,1,0,0,56,0,4,3,0,5,351,0,0,26,0,0,0,0,0,0,350,0,0,0,2,244,5,5,0,1,1,36,14,2,10,1,0,5,6,0,0,34,1,0,0,389,8,0,2,11,373,18,0,33,0,2,0,0,4,5,1,0,0,10,0,0,2,3,1,0,46,1,0,0,4,18,0,5,1,3,1,0,0,0,10,20,1269,66,28,7,37,21,2,0,9,1,0,308,4,34,4,1,1751,0,13,0,11,0,6,24,203,0,0,0,0,0,7,411,0,305,7,8,8,9,6,11,1,3,1,9,3872,151,15,1,0,2,6,3,1,0,42,1,0,1,0,0,0,0,14,1,13,0,0,0,4,0,1,0,0,0,1,1,0,23,5,129,22,1,0,2,1,2,0,18,26,25,727,3,23,0,0,0,0,9,75,43,0,0,401,0,0,4,1,3,0,0,2,11,0,860,507,3,11,1,11,2,0,22,1,0,9,0,0,10,0,7,0,0,44,278,0,1,136,2,1,0,17,317,0,0,65,2,3790,460,4,14,5,53,4,0,500,0,25,21,1,0,0,0,1,0,9,2,19,267,1,0,0,2,0,5,0,2,1,6,0,68,680,2,160,0,0,2,329,1,188,0,0,171,10,0,19,0,0,9,0,0,2,0,4,1,4,0
LOS2-late pre-onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOS3-early disease,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,22,0,0,51,0,0,470,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,344.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,8.5,0,0.5,0,0,0,0,0,1.5,0,0,0,0,2.5,1,0,0,0,0,75.5,6.5,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,0,0,0.5,0,0,0,0,3392.5,0.5,1,0,12523.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,8.5,0,0,0,0,0.5,0,0,11012.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22.5,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0
LOS3-early post partum,0.5,0,1,0,0.5,28.5,0,0.5,1.5,0,0,11.5,0,1.5,2426.5,1,0,0,0,2,0.5,14.5,1.5,0,0,2,2.5,164.5,1,65,0,1,5.5,0,0,20,0.5,2.5,0,1,7.5,0,0.5,26.5,0,3.5,151.5,0,1.5,38.5,0,0,0.5,0.5,0,2.5,104.5,0,0.5,9.5,1,102.5,1,2.5,0,9,2.5,18,6,1.5,4.5,1,0,0,1,0,0.5,38.5,0.5,0,0,461,1,0,0,4,174.5,6.5,0,18.5,0,0.5,0.5,0,5,1.5,0.5,0.5,0,2171,0,0,0,0.5,0.5,4,28.5,0,0.5,0,0,6.5,1,0,0,2,0,0,0,0,4.5,0,663.5,19.5,18.5,0.5,11.5,5,1,0,0,1.5,1,185,3.5,3.5,1,0,782.5,0,0.5,4,2.5,0,6,21,95,0,0,0,1,0,6.5,136,0,122.5,1,3.5,1,4,1.5,1,0.5,6,3.5,3,1622.5,11736,4,3,0,0,0,3,0,1,23,0,0.5,0,0,0.5,0.5,0,0,1,2.5,2,0.5,0,0,0,1,0,0,0,0.5,3.5,0.5,5,3,36,12,0.5,0,0.5,0,2,0.5,8.5,8.5,9.5,385.5,0,17,0,0,0,0,1,78,19.5,0,0,1063,0,0,1,1.5,0,260,0,0,7.5,0,392.5,175.5,3,8,0,1,0,0.5,7,0,2.5,0,0,0,0,0,0.5,0,0,13,93,1.5,0,191,0.5,1,0,0,134.5,0,0,245.5,0.5,1651.5,182.5,0,28,1,29,2.5,0,430,0,7,7.5,0,0.5,0,0,0,0,2.5,2.5,0,32.5,0,0,0,0.5,0,1,0,8.5,1,1.5,0,21,321,2,66,0,0,5,114,0.5,61.5,0,0,67.5,21.5,0,5.5,0.5,1.5,2,0,0,0.5,0,0,9.5,3.5,0
LOS3-early pre-onset,0.5,0,0.5,0,1,18.5,0,0,1.5,0.5,0,8.5,0,3.5,1683,0.5,0,0,0,5.5,7,7,1,0,0,0,0,127,1.5,53.5,0,0,8.5,0,0.5,5,0.5,0.5,0,0,23,0,0.5,0.5,0,1,103.5,0,0.5,18.5,0,0,0,0,0,1,116,0.5,0,0.5,0.5,74.5,2,4.5,0,1,1,9,3,0.5,4.5,2,0,0,1,0,0,13,0,0,0,357,1.5,3,0.5,1,126.5,8.5,0,21,0,0.5,0,0,4,2.5,0,0.5,0,8537.5,0,0,1,0.5,0,2,15.5,0,0,0,1,9.5,0.5,0,0,3.5,0,0,0,0,2,5.5,465,15,13,1,15.5,4,0,0,0,1,0.5,83.5,1.5,2,0.5,0,526,0,3,0,0.5,0,1,12.5,75,0,0,0.5,0,0,6.5,152.5,0,106,0,10.5,1,2.5,1.5,0.5,0.5,1,2,3.5,1232,9620.5,1.5,2.5,0,0,0,2,0,1.5,11.5,0.5,0,0,0,0,1,0,0,2,2.5,0,0,1,0,0,1,0,0,0,0,0.5,0,10,3.5,34,7.5,0.5,1,0,0,0,0,5.5,11.5,10,226.5,0,8,0,0,0,0.5,0.5,109.5,16,1.5,0,104,0.5,1,1,1,0.5,0,0,1,5,0,288,155,1.5,3,0,5.5,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,15.5,94,0,1,140,0,0,0,0,94.5,0,0,28.5,0,1182,148,0,9.5,1.5,25,4,0.5,847.5,0,6.5,5,0,0.5,0,0,0,0,3.5,2.5,0,13,1,0,0,0.5,0,0.5,0,6.5,0.5,3,0,17.5,225.5,4.5,60.5,0,0.5,1,84.5,1,56,0,0,70,1,0,3,0.5,0,4,0,0,0,0,0,0.5,2,0
LOS3-late pre-onset,0,0,0,0,0.5,0,0,0,0,0,0,0.5,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,108,0,37,0,0,36.5,0,0,911,0,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81.5,0,0,0,0,5.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,1.5,0,0,0,0,0,0,0,0,0,63.5,0,0,0,0,8,0,0,0,0.5,0,214,3.5,2,0,0,1,0,0,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,20,161.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,2,0,1291.5,0,0.5,0,12706,0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,2,0,0,0,0.5,2.5,0,0,2,0,24.5,2.5,0,0.5,0,0.5,0,0,12180.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0.5,0,0,0,0,0,0,0,5,0,2,0,1.5,12,2,0,1.5,0,0,1,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
NEC1-early disease,0,0,0,0,1,0.666666667,0,0,0.666666667,0,0,1,0,0.333333333,118.6666667,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,1.333333333,0,2.666666667,0,0,1,0,0,2773,0,0,0,0,2.333333333,0,0,0,1,0,21,0,0.666666667,0,0,0,0,0,0,0,11,0,0,0,1,4.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,1,0.333333333,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,3.333333333,0,0,0,0.333333333,1,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,15897.66667,0,0,0,0,0,0,2.333333333,0.333333333,0,1.666666667,0,3.666666667,0,0,0,0.333333333,0.333333333,0,0,0,0.333333333,1.333333333,27,3.333333333,0.666666667,1,2.666666667,0.333333333,0,0,0,0.333333333,0.333333333,2,0,0,0,0.333333333,23,0,0,0,0,0,5,0.666666667,1,0,0,4.333333333,0,0,0.333333333,1,0,3.666666667,0.666666667,4.333333333,1.666666667,0.333333333,0,0.666666667,0,0.333333333,0,0,12.33333333,12.33333333,0,0.333333333,0,0,0,0,0,0,2,0,0,0.666666667,0,0,0,0,0,0,1,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,42,0,0.333333333,5.333333333,4,0.666666667,0,0,0,0,0,1.333333333,1.666666667,1.333333333,10,0,0.666666667,0,0,0,6,0,794.3333333,7.333333333,4.666666667,0,40.66666667,0.333333333,0,0,0,0,0,0.333333333,0,0,0,3.666666667,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,3,2.333333333,0,2.333333333,0,0.666666667,0,0.333333333,30.66666667,0,0,0,2.333333333,13.33333333,17,0,0,0,3.666666667,0,0,7861.666667,0,0.666666667,1,0.333333333,0,0,0,0,3.666666667,0,0,0.333333333,3,0,13.66666667,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,8.333333333,11.66666667,0.333333333,4.333333333,0,0,0,18,0,15,0,0,7.666666667,0.333333333,0,0.333333333,31.66666667,0,0,0,0,0,0,0,0.333333333,0.333333333,0
NEC1-early post partum,5,0,1,6,27,129,1,3,10,2,0,83,0,19,8182,4,3,1,0,6,0,0,16,0,0,14,0,4,10,176,0,10,83,0,0,5,0,0,14,3,3,0,2,1,0,0,1057,0,8,0,4,0,0,0,12,0,649,2,0,0,0,272,23,104,2,1,8,118,26,39,0,5,0,0,2,0,8,20,3,0,78,90,2,0,2,0,1,24,0,88,0,5,3,3,1,1,8,0,0,9,0,0,1,0,0,0,169,0,9,0,2,162,3,1,0,50,1,0,0,1,63,14,2278,80,56,0,205,27,0,1,0,2,2,55,7,2,0,3,1326,0,0,0,0,0,2,137,1,0,0,0,24,0,71,5,4,0,1,237,107,43,0,13,4,3,0,4,8,18,11,5,0,3,0,4,1,0,50,0,0,6,0,5,0,0,0,53,35,0,2,0,0,0,8,0,10,2,0,6,0,12,10,279,211,78,2,1,0,0,0,58,107,105,6,0,24,0,0,0,0,0,14,407,0,0,395,0,0,0,6,0,0,7,1,0,1,5,1851,0,2,5,0,5,0,0,6,0,0,0,0,1,0,4,0,65,25,334,1,3,69,10,7,2,3,1316,2,0,0,60,2,999,0,0,0,291,4,0,437,6,76,36,3,0,6,1,4,0,0,16,0,0,1,0,0,2,0,1,0,0,14,1,0,473,650,31,174,0,0,10,942,0,819,0,0,554,5,0,10,0,0,0,0,0,3,17,0,0,2,0
NEC1-early pre-onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2231,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
NEC1-late pre-onset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2540,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
NEC2-early disease,0,0,0,0,0,2,0,0,0,0,0,0,0,1,88,0,0,0,0,0,1,1,0,0,0,0,0,4,1,2,0,0,1,0,0,27257,0,0,0,0,2,0,0,0,19,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,1,4,0,1,0,0,2,0,1,0,0,24,0,0,0,0,0,1,0,5,0,0,0,0,6,0,11,0,8,0,0,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,2,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,15,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,2,0,1,0,0,15,0,0,0,0,65,9,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,44,1,0,0,6,0,148,0,0,0,0,0,0,0,0,0,3,16,0,4,0,1,0,5,0,5,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NEC2-early post partum,0,0,1,0,3,26,0,3,1,0,0,35,0,14,5362,0,0,0,0,13,2,35,2,0,1,5,1,249,4,123,0,0,30,0,2,15,0,0,0,1,11,0,0,1,0,0,287,0,1,2,0,0,1,0,0,2,239,0,1,0,0,225,4,9,0,36,4,37,9,2,12,2,0,1,1,0,0,1,0,0,0,1031,6,0,1,6,326,13,0,62,0,3,0,0,4,2,1,0,0,218,0,0,0,1,0,0,55,2,0,0,1,20,0,2,0,4,0,0,0,1,6,9,1093,25,64,0,35,14,0,0,2,0,0,172,1,18,4,0,1641,0,3,0,14,0,1,29,198,0,0,0,6,0,17,301,2,234,1,11,4,11,0,4,2,10,6,3,3071,10,8,10,0,1,0,2,1,1,55,4,0,1,0,0,15,1,0,1,8,0,0,0,0,0,2,0,0,0,1,8,0,6,11,80,9,1,1,1,1,0,0,17,38,18,881,0,46,0,0,0,0,0,277,58,0,0,5,0,0,0,1,0,12,0,0,19,2,810,463,0,10,0,0,0,1,3,0,4,1,0,0,0,0,13,0,0,12,226,1,1,371,1,0,0,0,302,0,0,135,0,3192,361,0,1,0,39,6,0,3237,0,21,10,0,0,0,0,1,0,6,2,0,72,0,0,1,1,0,5,0,23,3,3,0,56,644,6,158,0,0,2,242,1,123,0,0,143,14,0,14,0,0,9,0,2,1,0,0,25,16,0
NEC2-early pre-onset,0.666666667,178,0,0,3.666666667,32.33333333,0,1.333333333,5.333333333,1,0.333333333,32,0,9.333333333,6951.333333,3.333333333,2.333333333,0,0,19.33333333,2,21.66666667,2,0,1.333333333,3.333333333,0.333333333,237.6666667,2,179,0,2.333333333,48,3,1,3,1.333333333,1.333333333,0,2,26,0,4,0.333333333,0,0.666666667,411.6666667,0,1.666666667,48.33333333,1.333333333,0,3,0,0.333333333,0.333333333,373.6666667,0.666666667,1,0,5,241,9.666666667,23.33333333,0,0.666666667,5.333333333,93,24.33333333,3.666666667,9,4,0,0.666666667,2.666666667,0,0,30.33333333,2.666666667,0,0,1008.666667,2.666666667,1.333333333,1.666666667,5.666666667,266.6666667,30.66666667,0,77,0,2.333333333,0.333333333,0.333333333,3,10,0.333333333,0,8.666666667,24.33333333,0,0,0.333333333,1.666666667,0.333333333,0.333333333,88.33333333,0.333333333,4,0,1.666666667,24.33333333,0.666666667,0.666666667,0,10,0.333333333,0,0,1.333333333,17.66666667,3,1733.333333,60.66666667,43.66666667,1.666666667,50.66666667,12.66666667,2.333333333,0,0.666666667,4.333333333,2,192,7.333333333,58.66666667,2.333333333,0.333333333,1701,0,2.666666667,0,8.333333333,1,14.66666667,38,169.3333333,3,2.333333333,0,1,0,26.33333333,250,1.666666667,240.3333333,4,12.33333333,22.33333333,8.333333333,3.666666667,16.66666667,2,9.333333333,6.666666667,9,2515,38.33333333,11.33333333,7,0,1.333333333,0,8,0.333333333,2,50,3,0.666666667,0,0,0.333333333,5,0,2,4.333333333,5.666666667,0,1.333333333,0,0,2.666666667,1.333333333,0,3,0.333333333,0.333333333,7.666666667,0,49,6,114.3333333,19.66666667,3.333333333,1.666666667,1.666666667,1.666666667,4,0,26.33333333,36.66666667,35.33333333,533.3333333,0,39.66666667,0,0,0,0,0,12.66666667,98.33333333,0,0,26,15,0.666666667,3.666666667,4,0.666666667,1.333333333,4,0.666666667,16.66666667,1,654,595,2.333333333,8.666666667,1,22.66666667,0.333333333,0.666666667,2.333333333,1.333333333,0.666666667,3.333333333,0,0,0.333333333,0.666666667,25.33333333,0,0,15,309,0.666666667,1.333333333,418,0.666666667,8.333333333,0.666666667,0,417,0.666666667,0,10,1,2615.333333,521,0,19.66666667,8.666666667,84.66666667,9.333333333,633,116.6666667,0.666666667,28,11.33333333,0.333333333,9,0.666666667,0,1.666666667,0,5.333333333,0.333333333,1.333333333,299.3333333,0.333333333,0,0.666666667,3.333333333,0,3.333333333,0,46.66666667,0.333333333,5.333333333,0,77.66666667,764.6666667,5,239,0,0,4.666666667,319,0.666666667,203,0,0,213.3333333,13,0,9.666666667,0,0,5,0,61.33333333,2.666666667,1.333333333,0,2,11,0
NEC2-late pre-onset,0,0,4,0,2.5,26,0,0.5,0,3.5,21,13,0,2.5,2490,1,2,0,0,5,0.5,11.5,3.5,0,0,1.5,0,184,1,65.5,0,0,7.5,1,2,13617.5,0,0,0,0,19,0,1.5,1,9,0,131,0,0,3,0,0,0,0,0,2.5,185.5,0,0,0,0,137.5,1.5,4,0,0,1.5,14.5,8.5,0,7,1,0,0,1,0,0,1.5,0.5,0,0,424.5,1,0,0,2,212,7,0,31.5,0,0,0.5,0,4.5,2.5,0,0,0,24,0,0,5.5,1,0,1.5,18.5,0,0,6.5,1,20,0.5,3.5,0,0,0,0,0,1.5,0.5,6.5,630,29.5,14.5,2.5,24.5,3.5,25.5,0,12,4.5,0.5,95,3,74,2.5,0,811,0,0,0,2.5,0,36,18,94.5,0,0,0,3,4.5,12,223.5,0,250,1,9,6.5,6.5,4,12.5,0,2.5,2.5,3,1970,5.5,6,10.5,0,1.5,17.5,0.5,0,1,17,6.5,4.5,0,0,0,1.5,0,3.5,3,3,0,0,0,19,2.5,1,0,1,0,0.5,3.5,0,1,3,55.5,7,0,0,2,0.5,1,0,13,12.5,18.5,335.5,7.5,13,0,0,0,0,0,68.5,15.5,0,0,26,0,4.5,0,2,0,0,0,0,11.5,0.5,467,237,0,10,0,0,0.5,0,0.5,0,0,4,0,0,0,1.5,17,0,0,18.5,141.5,8.5,0,154.5,0.5,13.5,0,3,153,0.5,0,6,0.5,1983,180.5,0,0.5,0,29,5,0,582,0,12.5,2,0,0.5,0,0,0,20,5,2,11.5,88.5,0,83,0.5,2.5,0,3.5,0,6,4,2,0,15,343,2.5,109,0,1.5,0,131.5,0,109,0,0,113,3,0,5,0,0,3.5,0,0,1,0,14,0,7,0
NEC3-early disease,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,13,0,0,0,2.5,0,0.5,0,0,0.5,0,0,0,2,0,0.5,0,0,0,0,0,567,0,37,0,0,12838,1,0,1349.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,39,0,0,0,0,0,0,0,0,6,0,0,1,4,0,0,0,2,0,0,449.5,0,0,0,0,0,0,0,1.5,0,0.5,0,0,3,0.5,0,0,0,0,362.5,0.5,0.5,0,0,0,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0.5,8,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0.5,0.5,5,0.5,2,0,0,753,0,0,0.5,3862,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,13,0.5,0,0,0,0,0,0,7608,0,0,0,0,0,0,0,0,1.5,0,0.5,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3.5,0,5,0,0,0.5,3.5,0,0,0.5,10.5,0,0,0,0,2.5,0,0,0,0,0.5,0,1
